entry,run,property,t0,g,Neff_max
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),3746,2.5806613,873.807
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),10,1.1796138,5078.781
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),2242,2.9554002,1271.9089
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),10,1.1796138,5078.781
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),1698,2.9938524,1437.2786
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),1698,2.9942114,1437.1062
0,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),115,2.6399822,2229.5605
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),43,1.1356711,5246.237
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),100,2.3618083,2498.5093
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),43,1.1356711,5246.237
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),43,2.950086,2019.602
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),43,2.947493,2021.3788
1,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),589,1.0,5412.0
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),1967,3.583832,1125.6108
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),49,1.1716558,5079.99
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),449,2.9673896,1871.0048
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),49,1.1716558,5079.99
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),97,3.9021003,1513.0314
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),97,3.9019709,1513.0815
2,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),368,13.914302,404.83527
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.1988604,5005.587
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),259,5.2235975,1099.2424
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.1988604,5005.587
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),146,5.281864,1108.5101
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),146,5.2841415,1108.0323
3,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),2432,1.0,3569.0
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),101,1.649395,3577.069
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),1,1.2393755,4841.148
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),1,1.6086929,3729.736
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),1,1.2393755,4841.148
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),9,3.2927313,1819.7659
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),9,3.2919493,1820.1981
4,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.1068333,5421.774
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),15,2.4551387,2438.1514
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.1088192,5412.0635
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),0,1.7085376,3512.3606
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.1088192,5412.0635
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),14,4.846355,1235.3615
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),14,4.846277,1235.3812
5,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),2656,1.0,3345.0
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),19,2.766919,2161.9717
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.1158969,5377.737
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),18,2.3487573,2547.3044
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.1158969,5377.737
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),39,4.184944,1424.6307
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),39,4.1841874,1424.8884
6,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),429,1.6468182,3383.4944
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.1703393,5127.5728
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),0,1.5465001,3880.3748
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.1703393,5127.5728
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),14,2.377828,2517.8442
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),14,2.3778932,2517.775
7,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),65,2.0954404,2832.8174
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),87,1.1250137,5256.8247
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),68,1.9766408,3001.557
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),87,1.1250137,5256.8247
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),63,3.7500222,1583.4573
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),63,3.7508464,1583.1094
8,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),334,1.0,5667.0
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),3186,12.338355,228.15034
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.2335054,4864.997
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),3188,7.1529617,393.26367
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.2335054,4864.997
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),149,13.592907,430.51865
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),149,13.595797,430.42715
9,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),3934,1.0,2067.0
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),58,2.4492636,2426.4436
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.199938,5001.0913
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),59,1.8172885,3269.7065
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.199938,5001.0913
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),292,3.8809834,1471.0189
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),292,3.8817446,1470.7305
10,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),3491,1.0,2510.0
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),9,2.0851438,2873.6626
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),1,1.2958462,4630.179
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),10,1.9956083,3002.092
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),1,1.2958462,4630.179
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),341,2.8534322,1983.5762
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),341,2.8523111,1984.3557
11,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),0,1.0,6001.0
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),190,2.198568,2643.084
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.3678106,4387.303
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),43,2.183074,2729.1792
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.3678106,4387.303
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),29,3.0273137,1972.706
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),29,3.027416,1972.6394
12,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),274,1.0,5727.0
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),489,1.9490464,2828.0498
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),39,1.3497723,4417.041
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),286,1.8142216,3150.1113
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),39,1.3497723,4417.041
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Box Volume (nm^3),50,2.9942422,1987.4812
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Density (g/mL),50,2.997469,1985.3417
13,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Speed (ns/day),3026,1.0,2975.0
14,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Potential Energy (kJ/mole),3849,4.4773498,480.64148
14,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Kinetic Energy (kJ/mole),0,1.2309456,4875.114
14,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Total Energy (kJ/mole),3820,3.3897176,643.41644
14,ne-6000000_np-5000000_dt-2.0_nb-25_fc-1.0_h1_middle-rep1,Temperature (K),0,1.2309456,4875.114
